rank,word,training_frequency
1,is,11880
2,are,6312
3,language,5793
4,s,5682
5,university,5503
6,e,3775
7,linguistics,3041
8,mail,2823
9,information,2748
10,one,2660
11,de,2554
12,conference,2344
13,t,2285
14,languages,2192
15,d,2141
16,papers,2112
17,english,2098
18,http,1965
19,was,1947
20,please,1945
21,has,1851
22,n,1850
23,address,1794
24,email,1777
25,edu,1746
26,our,1731
27,fax,1683
28,research,1590
29,www,1581
30,m,1548
31,workshop,1507
32,order,1448
33,program,1443
34,us,1406
35,linguistic,1345
36,send,1343
37,name,1305
38,first,1286
39,work,1254
40,call,1229
41,com,1183
42,two,1176
43,list,1171
44,uk,1150
45,been,1128
46,paper,1122
47,l,1121
48,c,1116
49,theory,1109
50,free,1094
