rank,word,training_frequency
1,is,12085
2,are,6375
3,s,5694
4,language,5537
5,university,5223
6,e,3752
7,linguistics,3016
8,mail,2890
9,one,2738
10,information,2668
11,de,2539
12,t,2425
13,d,2238
14,conference,2155
15,papers,2149
16,languages,2130
17,english,2102
18,was,2047
19,n,1968
20,please,1945
21,has,1911
22,email,1877
23,address,1848
24,http,1790
25,edu,1752
26,our,1713
27,fax,1609
28,research,1549
29,order,1506
30,program,1505
31,m,1500
32,workshop,1490
33,send,1425
34,www,1423
35,name,1370
36,us,1359
37,linguistic,1356
38,work,1301
39,first,1290
40,list,1232
41,two,1228
42,call,1217
43,paper,1197
44,uk,1192
45,been,1161
46,report,1135
47,free,1099
48,l,1087
49,number,1060
50,theory,1052
51,c,1050
52,following,1038
53,o,1029
54,many,1016
55,each,1009
56,u,1008
57,available,1008
58,th,1007
59,com,1000
60,money,977
61,p,958
62,am,946
63,book,940
64,between,938
65,b,938
66,word,915
67,form,910
68,ac,909
69,web,909
70,over,904
71,most,900
72,those,869
73,g,867
74,usa,863
75,speech,862
76,contact,860
77,does,854
78,here,848
79,department,848
80,grammar,847
81,addresses,844
82,must,841
83,systems,834
84,analysis,830
85,registration,825
86,case,825
87,international,820
88,words,811
89,syntax,807
90,include,802
91,computer,797
92,discourse,784
93,based,783
94,abstracts,783
95,business,779
96,had,774
97,h,773
98,different,764
99,world,758
100,j,754
101,internet,751
102,including,746
103,both,744
104,state,744
105,where,741
106,r,730
107,text,727
108,phone,725
109,la,723
110,were,720
111,even,717
112,data,716
113,session,711
114,etc,705
115,used,705
116,studies,701
117,john,692
118,discussion,690
119,below,690
120,abstract,688
121,science,680
122,much,679
123,system,668
124,x,663
125,special,658
126,page,658
127,re,652
128,speakers,652
129,sent,647
130,second,646
131,within,644
132,software,644
133,same,644
134,submission,628
135,further,626
136,before,625
137,received,623
138,after,622
139,day,621
140,part,617
141,site,608
142,semantics,602
143,structure,599
144,receive,598
145,non,595
146,pp,595
147,acquisition,594
148,need,588
149,submissions,586
150,want,579
151,using,579
152,through,577
153,place,576
154,general,575
155,made,570
156,questions,570
157,html,569
158,subject,568
159,committee,567
160,natural,557
161,students,557
162,knowledge,556
163,issues,553
164,level,546
165,invited,546
166,possible,535
167,german,535
168,v,535
169,processing,529
170,best,524
171,copy,522
172,computational,522
173,years,521
174,institute,521
175,three,520
176,orders,520
177,study,519
178,interest,519
179,interested,515
180,lexical,514
181,being,513
182,check,512
183,deadline,509
184,phonology,508
185,french,505
186,school,503
187,cognitive,503
188,title,499
189,every,499
190,linguist,499
191,reports,499
192,spanish,498
193,own,498
194,home,498
195,full,497
196,translation,496
197,important,484
198,dr,480
199,press,480
200,development,478
201,mailing,478
202,least,477
203,f,476
204,author,475
205,change,473
206,since,468
207,did,468
208,chair,468
209,date,467
210,related,466
211,american,465
212,tel,464
213,st,463
214,course,462
215,help,461
216,per,460
217,letter,457
218,k,457
219,read,453
220,example,451
221,social,450
222,line,450
223,ll,447
224,japanese,447
225,credit,446
226,participants,445
227,working,445
228,volume,444
229,ca,443
230,type,443
231,et,442
232,provide,442
233,given,439
234,communication,438
235,position,438
236,held,438
237,learning,437
238,applications,437
239,anyone,435
240,above,432
241,human,432
242,days,429
243,european,428
244,technology,428
245,message,427
246,sessions,426
247,march,424
248,syntactic,422
249,point,421
250,however,421
251,question,421
252,pages,421
253,york,421
254,card,420
255,several,419
256,area,419
257,reference,418
258,student,417
259,semantic,417
260,experience,416
261,august,416
262,germany,414
263,names,412
264,topics,409
265,present,409
266,box,408
267,break,407
268,four,407
269,found,406
270,might,405
271,members,404
272,another,403
273,either,402
274,field,402
275,via,402
276,making,401
277,teaching,400
278,few,400
279,linguists,400
280,while,400
281,under,398
282,authors,397
283,why,396
284,long,395
285,references,394
286,little,392
287,verb,391
288,june,391
289,back,390
290,electronic,389
291,let,389
292,theoretical,388
293,note,387
294,programme,386
295,examples,386
296,service,385
297,copies,384
298,thanks,381
299,published,381
300,follow,381
301,april,380
302,summary,378
303,w,378
304,areas,376
