rank,word
1,is
2,are
3,language
4,university
5,s
6,e
7,linguistics
8,mail
9,information
10,one
11,de
12,t
13,conference
14,english
15,languages
16,papers
17,please
18,was
19,http
20,has
21,n
22,address
23,d
24,edu
25,our
26,research
27,workshop
28,fax
29,www
30,email
31,m
32,us
33,order
34,linguistic
35,program
36,first
37,name
38,work
39,send
40,uk
41,two
42,list
43,call
44,been
45,c
46,com
47,l
48,paper
49,o
50,speech
51,available
52,u
53,following
54,number
55,free
56,th
57,book
58,theory
59,web
60,p
61,many
62,b
63,report
64,usa
65,each
66,word
67,registration
68,h
69,between
70,g
71,grammar
72,form
73,ac
74,case
75,contact
76,department
77,international
78,systems
79,here
80,most
81,money
82,those
83,am
84,j
85,over
86,words
87,does
88,syntax
89,john
90,based
91,analysis
92,discourse
93,state
94,must
95,world
96,r
97,computer
98,different
99,text
100,include
