rank,word
1,is
2,are
3,s
4,language
5,university
6,e
7,linguistics
8,mail
9,information
10,one
11,de
12,t
13,papers
14,d
15,conference
16,languages
17,english
18,was
19,please
20,n
21,email
22,address
23,has
24,http
25,edu
26,our
27,fax
28,research
29,workshop
30,order
31,program
32,m
33,www
34,send
35,name
36,us
37,linguistic
38,first
39,work
40,list
41,paper
42,call
43,two
44,uk
45,been
46,free
47,l
48,c
49,o
50,number
51,following
52,theory
53,report
54,com
55,th
56,each
57,speech
58,available
59,web
60,u
61,many
62,p
63,book
64,usa
65,between
66,word
67,form
68,money
69,b
70,g
71,am
72,most
73,over
74,those
75,international
76,registration
77,ac
78,grammar
79,here
80,does
81,addresses
82,must
83,case
84,department
85,include
86,computer
87,words
88,systems
89,contact
90,analysis
91,discourse
92,based
93,text
94,j
95,abstracts
96,state
97,different
98,syntax
99,h
100,world
