rank,word
1,is
2,are
3,language
4,s
5,university
6,e
7,linguistics
8,mail
9,information
10,one
11,de
12,conference
13,t
14,papers
15,d
16,languages
17,english
18,please
19,n
20,was
21,http
22,has
23,address
24,email
25,edu
26,fax
27,our
28,research
29,workshop
30,m
31,www
32,order
33,program
34,send
35,linguistic
36,us
37,name
38,first
39,work
40,two
41,paper
42,list
43,call
44,been
45,c
46,l
47,free
48,uk
49,o
50,theory
51,u
52,report
53,following
54,com
55,th
56,number
57,available
58,p
59,each
60,book
61,usa
62,web
63,speech
64,many
65,form
66,money
67,between
68,b
69,word
70,g
71,registration
72,international
73,most
74,case
75,am
76,contact
77,those
78,h
79,must
80,ac
81,does
82,systems
83,syntax
84,department
85,grammar
86,analysis
87,j
88,here
89,over
90,computer
91,discourse
92,include
93,different
94,words
95,abstracts
96,based
97,state
98,john
99,text
100,world
