rank,word
1,language
2,university
3,s
4,e
5,mail
6,linguistic
7,de
8,information
9,address
10,one
11,conference
12,order
13,send
14,d
15,please
16,t
17,include
18,workshop
19,work
20,paper
21,email
22,http
23,program
24,english
25,name
26,fax
27,n
28,papers
29,word
30,our
31,follow
32,research
33,list
34,edu
35,call
36,abstract
37,www
38,system
39,report
40,m
41,us
42,submission
43,book
44,c
45,study
46,theory
47,first
48,interest
49,form
50,session
51,number
52,receive
53,uk
54,linguistics
55,two
56,page
57,o
58,l
59,th
60,text
61,free
62,author
63,process
64,grammar
65,usa
66,case
67,p
68,each
69,speech
70,com
71,registration
72,u
73,web
74,state
75,available
76,science
77,student
78,day
79,issue
80,copy
81,question
82,contact
83,analysis
84,between
85,computer
86,money
87,many
88,base
89,international
90,provide
91,department
92,b
93,structure
94,write
95,speaker
96,ac
97,present
98,g
99,syntax
100,discussion
