rank,word
1,language
2,s
3,university
4,e
5,mail
6,linguistic
7,de
8,one
9,address
10,information
11,t
12,conference
13,order
14,d
15,send
16,english
17,work
18,please
19,include
20,email
21,n
22,program
23,paper
24,name
25,http
26,list
27,edu
28,word
29,workshop
30,our
31,follow
32,fax
33,report
34,research
35,call
36,papers
37,m
38,system
39,www
40,abstract
41,us
42,interest
43,receive
44,c
45,form
46,first
47,theory
48,study
49,book
50,number
51,two
52,linguistics
53,uk
54,submission
55,session
56,free
57,l
58,page
59,case
60,o
61,day
62,many
63,each
64,u
65,available
66,th
67,text
68,com
69,process
70,question
71,grammar
72,p
73,money
74,state
75,student
76,between
77,b
78,contact
79,write
80,analysis
81,ac
82,web
83,issue
84,author
85,copy
86,over
87,science
88,most
89,computer
90,linguist
91,department
92,base
93,those
94,speech
95,g
96,usa
97,speaker
98,provide
99,here
100,registration
