rank,word
1,the
2,of
3,be
4,and
5,to
6,in
7,a
8,for
9,on
10,you
11,i
12,that
13,language
14,this
15,have
16,it
17,or
18,as
19,with
20,will
21,s
22,university
23,by
24,at
25,from
26,your
27,not
28,e
29,do
30,an
31,we
32,mail
33,linguistic
34,can
35,all
36,if
37,de
38,one
39,information
40,address
41,use
42,which
43,conference
44,but
45,more
46,t
47,d
48,other
49,there
50,english
51,send
52,order
53,new
54,about
55,make
56,no
57,may
58,please
59,work
60,include
61,http
62,program
63,email
64,also
65,n
66,should
67,would
68,edu
69,paper
70,my
71,our
72,they
73,workshop
74,what
75,fax
76,name
77,any
78,out
79,word
80,list
81,some
82,their
83,so
84,research
85,only
86,follow
87,www
88,m
89,how
90,time
91,call
92,system
93,papers
94,who
95,these
96,get
97,us
98,report
99,like
100,people
