rank,word
1,the
2,of
3,be
4,and
5,to
6,in
7,a
8,for
9,you
10,on
11,i
12,that
13,language
14,this
15,have
16,it
17,or
18,with
19,as
20,will
21,s
22,university
23,by
24,at
25,from
26,your
27,not
28,do
29,e
30,an
31,we
32,mail
33,can
34,linguistic
35,all
36,if
37,de
38,one
39,address
40,information
41,which
42,use
43,but
44,t
45,conference
46,more
47,order
48,d
49,send
50,there
51,other
52,make
53,about
54,english
55,work
56,no
57,may
58,please
59,include
60,email
61,new
62,n
63,program
64,also
65,my
66,what
67,paper
68,would
69,name
70,should
71,any
72,http
73,list
74,they
75,edu
76,out
77,word
78,workshop
79,our
80,some
81,only
82,so
83,follow
84,fax
85,report
86,how
87,their
88,time
89,research
90,who
91,call
92,papers
93,get
94,these
95,m
96,people
97,system
98,like
99,www
100,abstract
