rank,word
1,the
2,of
3,be
4,and
5,to
6,in
7,a
8,for
9,on
10,you
11,i
12,that
13,language
14,this
15,have
16,it
17,or
18,as
19,with
20,will
21,university
22,s
23,by
24,at
25,from
26,not
27,your
28,e
29,do
30,an
31,we
32,mail
33,linguistic
34,can
35,if
36,all
37,information
38,de
39,one
40,which
41,address
42,use
43,but
44,conference
45,t
46,english
47,other
48,there
49,more
50,may
51,about
52,make
53,please
54,order
55,work
56,no
57,new
58,send
59,include
60,http
61,n
62,also
63,workshop
64,would
65,word
66,what
67,should
68,my
69,d
70,program
71,edu
72,paper
73,our
74,some
75,name
76,any
77,list
78,research
79,they
80,so
81,fax
82,follow
83,only
84,their
85,how
86,email
87,out
88,time
89,who
90,system
91,www
92,m
93,call
94,papers
95,us
96,these
97,report
98,get
99,c
100,interest
