rank,word
1,the
2,of
3,be
4,and
5,to
6,in
7,a
8,for
9,you
10,on
11,i
12,that
13,language
14,this
15,have
16,it
17,or
18,will
19,as
20,with
21,university
22,s
23,by
24,at
25,from
26,your
27,not
28,e
29,do
30,an
31,mail
32,we
33,can
34,linguistic
35,all
36,if
37,one
38,information
39,de
40,address
41,use
42,which
43,conference
44,but
45,t
46,more
47,d
48,order
49,send
50,other
51,there
52,about
53,make
54,english
55,please
56,work
57,include
58,new
59,may
60,no
61,n
62,paper
63,program
64,email
65,http
66,should
67,also
68,workshop
69,would
70,what
71,name
72,my
73,any
74,they
75,word
76,edu
77,list
78,follow
79,out
80,fax
81,some
82,how
83,only
84,their
85,so
86,our
87,research
88,papers
89,time
90,report
91,m
92,www
93,system
94,these
95,call
96,who
97,get
98,people
99,abstract
100,us
