rank,word,training_frequency
1,language,7932
2,university,6059
3,s,5443
4,e,4034
5,mail,3585
6,linguistic,3311
7,de,3141
8,information,3009
9,address,2893
10,one,2751
11,conference,2728
12,d,2254
13,send,2209
14,order,2203
15,please,2160
16,http,2137
17,t,2117
18,include,2112
19,english,2080
20,workshop,2065
21,paper,2032
22,work,2022
23,email,1990
24,program,1898
25,fax,1829
26,name,1809
27,n,1774
28,our,1773
29,edu,1766
30,papers,1726
31,list,1705
32,www,1704
33,research,1694
34,follow,1656
35,word,1616
36,system,1599
37,call,1597
38,abstract,1570
39,m,1490
40,report,1490
41,submission,1420
42,us,1420
43,book,1418
44,interest,1378
45,form,1370
46,theory,1363
47,c,1362
48,study,1349
49,first,1341
50,session,1303
