rank,word,training_frequency
1,language,7932
2,university,6059
3,s,5443
4,e,4034
5,mail,3585
6,linguistic,3311
7,de,3141
8,information,3009
9,address,2893
10,one,2751
11,conference,2728
12,d,2254
13,send,2209
14,order,2203
15,please,2160
16,http,2137
17,t,2117
18,include,2112
19,english,2080
20,workshop,2065
21,paper,2032
22,work,2022
23,email,1990
24,program,1898
25,fax,1829
26,name,1809
27,n,1774
28,our,1773
29,edu,1766
30,papers,1726
31,list,1705
32,www,1704
33,research,1694
34,follow,1656
35,word,1616
36,system,1599
37,call,1597
38,abstract,1570
39,m,1490
40,report,1490
41,submission,1420
42,us,1420
43,book,1418
44,interest,1378
45,form,1370
46,theory,1363
47,c,1362
48,study,1349
49,first,1341
50,session,1303
51,receive,1266
52,uk,1235
53,linguistics,1220
54,number,1208
55,com,1194
56,two,1185
57,page,1183
58,l,1161
59,th,1147
60,o,1129
61,text,1116
62,free,1110
63,web,1110
64,process,1078
65,speech,1078
66,author,1073
67,u,1070
68,each,1070
69,state,1066
70,available,1065
71,grammar,1063
72,usa,1060
73,registration,1045
74,p,1042
75,student,1034
76,day,1029
77,issue,999
78,case,994
79,science,994
80,analysis,979
81,copy,978
82,question,969
83,between,965
84,contact,961
85,many,956
86,base,952
87,computer,940
88,provide,931
89,international,930
90,department,924
91,money,923
92,ac,922
93,h,921
94,structure,916
95,write,912
96,site,904
97,over,893
98,present,883
99,b,879
100,speaker,875
101,g,867
102,those,866
103,linguist,863
104,discourse,859
105,most,850
106,discussion,847
107,world,840
108,area,836
109,reference,828
110,must,827
111,syntax,823
112,learn,821
113,la,807
114,need,801
115,different,800
116,here,799
117,business,794
118,invite,789
119,topic,787
120,submit,780
121,internet,778
122,check,771
123,r,770
124,special,766
125,place,766
126,j,763
127,john,761
128,part,759
129,example,746
130,both,744
131,application,741
132,where,732
133,phone,730
134,even,722
135,approach,719
136,x,713
137,change,712
138,second,707
139,title,701
140,acquisition,701
141,below,699
142,read,694
143,subject,685
144,etc,678
145,committee,678
146,level,677
147,want,677
148,course,676
149,further,674
150,v,674
151,type,672
152,html,671
153,within,669
154,publish,668
155,semantic,657
156,before,657
157,general,655
158,offer,653
159,pp,653
160,software,641
161,technology,639
162,le,638
163,development,635
164,review,632
165,school,631
166,deadline,628
167,non,622
168,translation,621
169,much,615
170,model,613
171,problem,611
172,teach,610
173,institute,605
174,break,604
175,after,604
176,chair,604
177,minute,602
178,note,598
179,re,597
180,line,592
181,presentation,591
182,hold,590
183,datum,588
184,week,587
185,aspect,586
186,phonology,583
187,letter,582
188,same,582
189,communication,581
190,tel,578
191,verb,577
192,field,574
193,start,574
194,through,573
195,relate,570
196,point,570
197,fee,568
198,speak,565
199,cognitive,565
200,member,563
201,natural,562
202,service,560
203,post,557
204,show,556
205,computational,556
206,mean,554
207,accept,553
208,message,552
209,detail,551
210,feature,546
211,full,544
212,knowledge,541
213,lexical,541
214,card,539
215,result,536
216,resource,535
217,volume,532
218,method,531
219,thank,530
220,focus,529
221,participant,527
222,three,526
223,position,526
224,june,526
225,human,524
226,possible,523
227,dr,522
228,home,522
229,market,521
230,publication,519
231,american,517
232,press,516
233,apply,515
234,german,514
235,price,512
236,own,511
237,et,510
238,term,510
239,link,510
240,corpus,508
241,august,507
242,best,505
243,account,504
244,file,502
245,help,501
246,credit,500
247,k,499
248,spanish,498
249,meet,496
250,ed,495
251,group,493
252,per,492
253,important,492
254,product,492
255,talk,488
256,every,487
257,mark,487
258,french,486
259,st,486
260,social,485
261,date,484
262,european,484
263,require,484
264,f,483
265,ca,482
266,experience,474
267,programme,469
268,pay,466
269,construction,460
270,request,455
271,section,455
272,proposal,454
273,canada,450
274,cost,449
275,germany,447
276,set,446
277,journal,442
278,july,439
279,theoretical,434
280,child,434
281,since,433
282,response,432
283,electronic,432
284,format,432
285,limit,431
286,a,430
287,hour,429
288,box,429
289,is,429
290,march,429
291,ll,428
292,context,427
293,least,427
294,understand,426
295,evaluation,426
296,york,426
297,project,424
298,remove,424
299,rule,420
300,contain,419
301,ask,418
302,semantics,418
303,city,415
304,vium,414
305,consider,411
306,support,410
307,either,408
308,syntactic,407
309,above,407
310,logic,406
311,september,406
312,en,406
313,content,406
314,seem,404
315,under,403
316,let,402
317,opportunity,402
318,japanese,402
319,version,399
320,april,398
321,machine,397
322,france,396
323,however,394
324,final,393
325,while,393
326,anyone,392
327,back,392
328,room,391
329,open,390
330,description,390
331,person,390
332,theme,389
333,nl,389
334,w,388
335,four,388
336,representation,384
337,article,383
338,advance,383
339,several,382
340,tell,382
341,few,381
342,end,381
343,main,381
344,right,381
345,current,380
346,develop,380
347,long,379
348,society,378
349,plan,378
350,college,377
351,sign,377
352,education,375
353,major,375
354,complete,375
355,researcher,375
356,view,375
357,organize,375
358,constraint,374
359,summary,373
360,why,373
361,benjamin,373
362,discuss,372
363,sentence,370
364,affiliation,369
365,another,369
366,national,369
367,lunch,368
368,wish,368
369,coffee,366
370,tutorial,366
371,add,364
372,standard,363
373,object,363
374,try,363
375,movement,363
376,win,363
377,particular,362
378,little,361
379,hotel,360
380,single,359
381,chinese,359
382,center,358
383,fact,356
384,dialect,356
385,morphology,354
386,david,352
387,great,352
388,bulk,350
389,specific,349
390,association,347
391,million,347
392,become,346
393,today,346
394,thing,345
395,various,343
396,without,343
397,reason,342
398,allow,341
399,due,340
400,code,340
401,cd,339
402,acl,339
403,lexicon,338
404,symposium,337
405,plus,337
406,whether,336
407,access,336
408,perspective,335
409,individual,334
410,company,334
411,london,333
412,build,332
413,user,332
414,pragmatic,331
415,role,330
416,contribution,330
417,bring,330
418,vowel,330
419,cover,329
420,professor,329
421,argument,329
422,together,329
423,source,328
424,y,328
425,still,327
426,less,325
427,relation,325
428,academic,325
429,grammatical,324
430,search,323
431,month,323
432,wide,322
433,domain,322
434,reply,321
435,involve,321
436,van,321
437,interaction,321
438,live,319
439,original,318
440,query,317
441,teacher,317
442,chapter,317
443,formal,317
444,editor,317
445,netherland,317
446,again,316
447,sound,316
448,put,315
449,history,314
450,co,314
451,welcome,313
452,visit,312
453,design,312
454,ve,312
455,net,312
456,october,311
457,hard,311
458,better,311
459,modern,308
460,au,308
461,aim,307
462,office,307
463,phrase,307
464,californium,306
465,centre,305
466,describe,305
467,answer,304
468,kind,303
469,introduction,303
470,sell,303
471,payment,302
472,idea,301
473,japan,301
474,accommodation,299
475,future,299
476,event,298
477,directory,298
478,life,297
479,phenomenon,296
480,appear,296
481,evidence,296
482,phonological,296
483,easy,296
484,additional,295
485,category,295
486,old,294
487,oxford,294
488,rate,294
489,material,294
490,never,293
491,concern,293
492,deal,292
493,telephone,292
494,hear,292
495,tool,292
496,pattern,291
497,off,291
498,pm,291
499,next,289
500,mit,289
