rank,word
1,the
2,of
3,and
4,to
5,in
6,a
7,for
8,is
9,on
10,you
11,be
12,that
13,i
14,this
15,are
16,will
17,or
18,it
19,with
20,university
21,as
22,language
23,s
24,by
25,at
26,from
27,your
28,have
29,e
30,not
31,an
32,we
33,can
34,linguistics
35,all
36,mail
37,information
38,if
39,de
40,one
41,conference
42,which
43,papers
44,do
45,but
46,d
47,t
48,more
49,http
50,languages
51,new
52,please
53,english
54,there
55,no
56,about
57,should
58,address
59,email
60,also
61,has
62,workshop
63,other
64,fax
65,was
66,our
67,n
68,edu
69,may
70,what
71,any
72,www
73,they
74,would
75,their
76,research
77,out
78,how
79,only
80,my
81,some
82,so
83,order
84,these
85,m
86,program
87,who
88,linguistic
89,us
90,name
91,send
92,time
93,people
94,first
95,paper
96,call
97,like
98,work
99,uk
100,use
