rank,word
1,the
2,of
3,and
4,to
5,in
6,a
7,for
8,is
9,on
10,be
11,you
12,that
13,i
14,this
15,are
16,will
17,or
18,it
19,as
20,with
21,university
22,language
23,s
24,by
25,at
26,from
27,your
28,have
29,not
30,an
31,e
32,we
33,can
34,linguistics
35,information
36,all
37,if
38,de
39,mail
40,one
41,conference
42,which
43,papers
44,do
45,but
46,d
47,more
48,t
49,languages
50,please
51,english
52,there
53,new
54,http
55,about
56,no
57,should
58,address
59,email
60,workshop
61,also
62,other
63,has
64,was
65,may
66,edu
67,fax
68,n
69,what
70,research
71,would
72,www
73,our
74,they
75,any
76,their
77,how
78,out
79,my
80,only
81,some
82,order
83,so
84,these
85,m
86,linguistic
87,program
88,who
89,us
90,send
91,name
92,first
93,paper
94,like
95,time
96,people
97,call
98,work
99,uk
100,two
