rank,word
1,the
2,of
3,and
4,to
5,in
6,a
7,for
8,is
9,you
10,on
11,be
12,that
13,i
14,this
15,are
16,will
17,or
18,it
19,with
20,as
21,university
22,language
23,s
24,by
25,at
26,from
27,your
28,have
29,not
30,e
31,an
32,we
33,can
34,linguistics
35,all
36,mail
37,information
38,if
39,one
40,conference
41,de
42,which
43,papers
44,do
45,but
46,t
47,d
48,more
49,languages
50,there
51,please
52,no
53,about
54,new
55,http
56,address
57,should
58,email
59,english
60,workshop
61,has
62,also
63,n
64,other
65,what
66,fax
67,may
68,was
69,any
70,they
71,would
72,how
73,out
74,our
75,their
76,edu
77,only
78,research
79,my
80,www
81,some
82,order
83,so
84,m
85,program
86,these
87,name
88,us
89,who
90,linguistic
91,send
92,first
93,people
94,call
95,time
96,paper
97,like
98,work
99,uk
100,use
