rank,word
1,the
2,of
3,and
4,to
5,in
6,a
7,for
8,is
9,on
10,you
11,be
12,i
13,that
14,this
15,are
16,it
17,or
18,as
19,with
20,language
21,will
22,university
23,s
24,by
25,at
26,from
27,have
28,not
29,your
30,e
31,an
32,we
33,can
34,if
35,all
36,linguistics
37,mail
38,information
39,one
40,which
41,but
42,de
43,do
44,t
45,conference
46,english
47,there
48,more
49,languages
50,about
51,papers
52,no
53,please
54,new
55,was
56,http
57,has
58,n
59,also
60,would
61,other
62,what
63,should
64,address
65,my
66,d
67,edu
68,our
69,some
70,may
71,any
72,they
73,so
74,research
75,workshop
76,fax
77,only
78,their
79,how
80,who
81,out
82,www
83,email
84,m
85,these
86,us
87,order
88,linguistic
89,time
90,like
91,program
92,people
93,first
94,name
95,work
96,send
97,use
98,me
99,uk
100,two
