rank,word
1,the
2,of
3,and
4,to
5,in
6,a
7,for
8,is
9,you
10,on
11,be
12,i
13,that
14,this
15,are
16,it
17,or
18,as
19,will
20,with
21,language
22,s
23,university
24,by
25,at
26,from
27,your
28,not
29,have
30,e
31,an
32,we
33,can
34,all
35,if
36,linguistics
37,mail
38,information
39,one
40,which
41,de
42,do
43,but
44,conference
45,t
46,papers
47,more
48,d
49,there
50,languages
51,about
52,english
53,please
54,new
55,no
56,n
57,was
58,http
59,should
60,has
61,address
62,other
63,also
64,email
65,would
66,what
67,my
68,any
69,they
70,edu
71,out
72,some
73,how
74,fax
75,only
76,their
77,so
78,our
79,may
80,research
81,workshop
82,m
83,www
84,order
85,these
86,who
87,program
88,people
89,send
90,linguistic
91,us
92,name
93,time
94,like
95,first
96,work
97,two
98,paper
99,use
100,me
