rank,word
1,the
2,of
3,and
4,to
5,in
6,a
7,for
8,is
9,you
10,on
11,i
12,be
13,that
14,this
15,it
16,are
17,or
18,with
19,as
20,will
21,s
22,language
23,university
24,by
25,at
26,from
27,your
28,have
29,not
30,e
31,an
32,we
33,can
34,all
35,if
36,linguistics
37,mail
38,one
39,information
40,which
41,de
42,do
43,but
44,t
45,more
46,d
47,there
48,conference
49,papers
50,languages
51,about
52,english
53,no
54,was
55,n
56,new
57,please
58,has
59,also
60,email
61,my
62,address
63,what
64,other
65,would
66,should
67,any
68,http
69,they
70,edu
71,out
72,our
73,some
74,only
75,so
76,may
77,how
78,their
79,fax
80,research
81,who
82,order
83,program
84,these
85,m
86,workshop
87,people
88,send
89,www
90,like
91,name
92,us
93,linguistic
94,time
95,work
96,me
97,first
98,use
99,list
100,two
