rank,word
1,the
2,of
3,and
4,to
5,in
6,a
7,for
8,is
9,on
10,you
11,be
12,i
13,that
14,this
15,are
16,it
17,or
18,as
19,with
20,language
21,will
22,s
23,university
24,by
25,at
26,from
27,your
28,have
29,not
30,e
31,an
32,we
33,can
34,linguistics
35,all
36,if
37,mail
38,information
39,one
40,de
41,which
42,but
43,conference
44,do
45,t
46,more
47,languages
48,d
49,there
50,papers
51,english
52,about
53,new
54,no
55,http
56,was
57,please
58,also
59,has
60,n
61,other
62,address
63,should
64,email
65,would
66,edu
67,my
68,our
69,they
70,what
71,any
72,out
73,fax
74,some
75,may
76,their
77,so
78,only
79,research
80,www
81,how
82,m
83,workshop
84,who
85,these
86,order
87,program
88,us
89,like
90,people
91,time
92,linguistic
93,send
94,name
95,first
96,work
97,call
98,me
99,than
100,com
