rank,word
1,the
2,of
3,and
4,to
5,in
6,a
7,for
8,is
9,on
10,you
11,be
12,that
13,i
14,this
15,are
16,or
17,it
18,will
19,as
20,with
21,language
22,university
23,s
24,by
25,at
26,from
27,your
28,not
29,have
30,e
31,an
32,we
33,can
34,all
35,if
36,linguistics
37,information
38,mail
39,one
40,which
41,de
42,conference
43,papers
44,but
45,do
46,t
47,more
48,languages
49,there
50,no
51,about
52,d
53,http
54,please
55,english
56,new
57,should
58,address
59,has
60,also
61,email
62,was
63,other
64,workshop
65,n
66,what
67,would
68,they
69,may
70,any
71,our
72,edu
73,only
74,fax
75,my
76,out
77,their
78,some
79,www
80,research
81,how
82,so
83,these
84,order
85,program
86,who
87,m
88,us
89,name
90,send
91,time
92,linguistic
93,like
94,first
95,people
96,paper
97,call
98,work
99,use
100,than
