rank,word
1,the
2,of
3,and
4,to
5,in
6,a
7,for
8,is
9,on
10,you
11,be
12,that
13,i
14,this
15,are
16,will
17,it
18,or
19,as
20,language
21,with
22,university
23,s
24,by
25,at
26,from
27,your
28,e
29,have
30,not
31,an
32,we
33,can
34,all
35,linguistics
36,mail
37,if
38,information
39,one
40,conference
41,de
42,which
43,papers
44,do
45,but
46,t
47,d
48,more
49,languages
50,http
51,english
52,new
53,please
54,there
55,about
56,no
57,should
58,address
59,also
60,workshop
61,other
62,has
63,was
64,n
65,edu
66,email
67,what
68,fax
69,may
70,research
71,www
72,out
73,they
74,my
75,our
76,any
77,would
78,their
79,only
80,some
81,so
82,how
83,m
84,program
85,these
86,order
87,linguistic
88,who
89,name
90,us
91,send
92,time
93,people
94,first
95,call
96,paper
97,like
98,uk
99,use
100,two
