rank,word,training_frequency
1,the,49897
2,of,37216
3,be,30818
4,and,29974
5,to,25164
6,in,21679
7,a,20551
8,for,13009
9,on,9116
10,you,8985
11,i,8358
12,that,8019
13,language,7844
14,this,7076
15,have,6803
16,it,6186
17,or,6000
18,as,5958
19,with,5848
20,will,5721
21,university,5641
22,s,5458
23,by,5013
24,at,4635
25,from,4595
26,not,3994
27,your,3968
28,e,3905
29,do,3826
30,an,3631
31,we,3556
32,mail,3310
33,linguistic,3127
34,can,3044
35,if,2990
36,all,2963
37,information,2730
38,de,2712
39,one,2697
40,which,2535
41,address,2530
42,use,2524
43,but,2446
44,conference,2405
45,t,2226
46,english,2183
47,other,2155
48,there,2129
49,more,2103
50,may,2064
51,about,2058
52,make,2048
53,please,2031
54,order,1996
55,work,1993
56,no,1992
57,new,1989
58,send,1965
59,include,1906
60,http,1902
61,n,1858
62,also,1825
63,workshop,1823
64,would,1816
65,word,1759
66,what,1757
67,should,1734
68,my,1728
69,d,1719
70,program,1709
71,edu,1701
72,paper,1696
73,our,1679
74,some,1672
75,name,1666
76,any,1662
77,list,1650
78,research,1648
79,they,1644
80,so,1638
81,fax,1635
82,follow,1613
83,only,1605
84,their,1598
85,how,1590
86,email,1585
87,out,1550
88,time,1549
89,who,1543
90,system,1523
91,www,1508
92,m,1485
93,call,1460
94,papers,1418
95,us,1417
96,these,1415
97,report,1407
98,get,1400
99,c,1395
100,interest,1357
