rank,word,training_frequency
1,the,51502
2,of,38448
3,and,30968
4,to,25657
5,in,21943
6,a,20734
7,for,13591
8,is,12061
9,on,9382
10,you,9301
11,be,9194
12,that,8123
13,i,8032
14,this,7322
15,are,6458
16,or,6265
17,it,6242
18,will,6171
19,as,6130
20,with,6085
21,language,5795
22,university,5740
23,s,5549
24,by,5303
25,at,4817
26,from,4654
27,your,4230
28,not,4073
29,have,4046
30,e,3772
31,an,3717
32,we,3574
33,can,3235
34,all,3047
35,if,3040
36,linguistics,3012
37,information,2909
38,mail,2904
39,one,2683
40,which,2591
41,de,2589
42,conference,2465
43,papers,2443
44,but,2410
45,do,2365
46,t,2262
47,more,2249
48,languages,2205
49,there,2120
50,no,2102
51,about,2094
52,d,2091
53,http,2064
54,please,2044
55,english,2023
56,new,2011
57,should,1961
58,address,1885
59,has,1880
60,also,1872
61,email,1868
62,was,1866
63,other,1858
64,workshop,1845
65,n,1792
66,what,1787
67,would,1765
68,they,1747
69,may,1745
70,any,1715
71,our,1707
72,edu,1698
73,only,1697
74,fax,1693
75,my,1693
76,out,1667
77,their,1653
78,some,1634
79,www,1633
80,research,1626
81,how,1612
82,so,1611
83,these,1511
84,order,1481
85,program,1472
86,who,1452
87,m,1409
88,us,1388
89,name,1385
90,send,1375
91,time,1352
92,linguistic,1351
93,like,1336
94,first,1332
95,people,1313
96,paper,1309
97,call,1289
98,work,1287
99,use,1212
100,than,1206
101,two,1206
102,uk,1203
103,me,1152
104,been,1149
105,list,1148
106,such,1144
107,com,1120
108,up,1103
109,c,1096
110,theory,1089
111,th,1089
112,number,1083
113,get,1073
114,usa,1068
115,book,1067
116,available,1065
117,now,1060
118,make,1059
119,each,1059
120,following,1058
121,free,1056
122,o,1047
123,speech,1034
124,l,1019
125,report,1003
126,many,993
127,them,993
128,web,989
129,just,983
130,between,971
131,u,953
132,registration,942
133,when,940
134,p,938
135,he,935
136,word,935
137,form,930
138,b,928
139,well,913
140,systems,912
141,international,904
142,ac,894
143,contact,891
144,money,891
145,very,885
146,most,885
147,over,881
148,its,873
149,case,871
150,must,869
151,those,868
152,grammar,865
153,abstracts,860
154,am,853
155,g,848
156,department,847
157,syntax,843
158,words,843
159,based,836
160,include,835
161,state,831
162,here,827
163,does,821
164,different,818
165,analysis,813
166,computer,805
167,h,799
168,see,795
169,including,790
170,addresses,784
171,world,784
172,text,783
173,know,778
174,studies,771
175,way,768
176,john,757
177,submission,757
178,both,753
179,data,749
180,site,749
181,into,747
182,abstract,738
183,special,732
184,internet,732
185,science,730
186,r,726
187,discussion,722
188,discourse,717
189,had,716
190,business,715
191,take,713
192,la,712
193,session,710
194,where,710
195,below,707
196,submissions,705
197,j,702
198,could,698
199,phone,692
200,x,692
201,page,688
202,even,687
203,then,687
204,etc,685
205,used,684
206,system,677
207,within,673
208,second,672
209,acquisition,672
210,further,669
211,sent,668
212,before,665
213,committee,663
214,much,658
215,were,658
216,his,657
217,speakers,649
218,structure,647
219,html,643
220,pp,637
221,general,636
222,after,633
223,same,632
224,part,631
225,invited,627
226,day,626
227,re,620
228,software,616
229,semantics,606
230,issues,604
231,using,597
232,subject,592
233,received,591
234,students,591
235,non,590
236,place,587
237,deadline,587
238,questions,584
239,find,584
240,processing,584
241,through,580
242,copy,576
243,institute,575
244,need,574
245,receive,572
246,made,568
247,tel,565
248,interest,563
249,translation,561
250,natural,554
251,title,554
252,study,553
253,lexical,551
254,knowledge,550
255,author,549
256,because,547
257,cognitive,547
258,learning,544
259,want,542
260,full,539
261,level,538
262,computational,534
263,possible,533
264,phonology,533
265,interested,522
266,being,520
267,three,518
268,best,517
269,date,516
270,volume,516
271,school,514
272,development,512
273,june,510
274,german,505
275,years,502
276,technology,501
277,related,496
278,important,496
279,social,495
280,course,494
281,line,493
282,check,493
283,dr,489
284,think,488
285,st,487
286,every,484
287,own,484
288,spanish,482
289,provide,482
290,french,479
291,orders,479
292,participants,474
293,per,474
294,press,472
295,august,470
296,home,469
297,card,469
298,given,468
299,authors,468
300,held,467
301,year,466
302,reports,466
303,european,464
304,applications,463
305,canada,463
306,topics,462
