rank,word,training_frequency
1,the,50073
2,of,37026
3,and,29788
4,to,25473
5,in,21783
6,a,20644
7,for,13279
8,is,12085
9,you,9870
10,on,9062
11,i,8830
12,be,8707
13,that,8391
14,this,7421
15,it,6460
16,are,6375
17,or,6235
18,with,6053
19,as,6030
20,will,5920
21,s,5694
22,language,5537
23,university,5223
24,by,5145
25,at,4653
26,from,4596
27,your,4285
28,have,4193
29,not,4069
30,e,3752
31,an,3671
32,we,3567
33,can,3251
34,all,3100
35,if,3099
36,linguistics,3016
37,mail,2890
38,one,2738
39,information,2668
40,which,2593
41,de,2539
42,do,2513
43,but,2479
44,t,2425
45,more,2251
46,d,2238
47,there,2190
48,conference,2155
49,papers,2149
50,languages,2130
51,about,2121
52,english,2102
53,no,2058
54,was,2047
55,n,1968
56,new,1948
57,please,1945
58,has,1911
59,also,1896
60,email,1877
61,my,1870
62,address,1848
63,what,1846
64,other,1842
65,would,1830
66,should,1797
67,any,1793
68,http,1790
69,they,1777
70,edu,1752
71,out,1733
72,our,1713
73,some,1700
74,only,1694
75,so,1669
76,may,1644
77,how,1622
78,their,1614
79,fax,1609
80,research,1549
81,who,1548
82,order,1506
83,program,1505
84,these,1503
85,m,1500
86,workshop,1490
87,people,1465
88,send,1425
89,www,1423
90,like,1410
91,name,1370
92,us,1359
93,linguistic,1356
94,time,1352
95,work,1301
96,me,1295
97,first,1290
98,use,1261
99,list,1232
100,two,1228
