rank,word,training_frequency
1,the,52888
2,of,39588
3,and,32117
4,to,26007
5,in,22604
6,a,21104
7,for,14021
8,is,12126
9,on,9667
10,you,9429
11,be,9335
12,that,8018
13,i,7962
14,this,7430
15,are,6534
16,will,6319
17,it,6297
18,or,6262
19,as,6152
20,language,6093
21,with,6092
22,university,6046
23,s,5639
24,by,5396
25,at,4915
26,from,4758
27,your,4238
28,e,4051
29,have,4028
30,not,4004
31,an,3775
32,we,3553
33,can,3222
34,all,3088
35,linguistics,3067
36,mail,3063
37,if,3022
38,information,2983
39,one,2701
40,conference,2640
41,de,2626
42,which,2614
43,papers,2521
44,do,2361
45,but,2359
46,t,2354
47,d,2322
48,more,2226
49,languages,2202
50,http,2139
